# Cache size detection via pointer-chasing (node_stride=256b)
# size_bytes	latency_ns_per_access
1024	0.721
1152	0.712
1280	0.713
1408	0.712
1536	0.711
1664	0.711
1792	0.711
1920	0.711
2048	0.711
2304	0.711
2560	0.711
2816	0.711
3072	0.711
3328	0.711
3584	0.711
3840	0.711
4096	0.711
4608	0.717
5120	0.711
5632	0.711
6144	0.711
6656	0.711
7168	0.711
7680	0.711
8192	0.711
9216	0.711
10240	0.711
11264	0.711
12288	0.711
13312	0.711
14336	0.711
15360	0.712
16384	0.711
18432	0.745
20480	0.711
22528	0.712
24576	0.712
26624	0.711
28672	0.712
30720	0.712
32768	0.712
36864	2.516
40960	2.407
45056	2.105
49152	2.324
53248	2.532
57344	2.577
61440	2.485
65536	2.556
73728	2.523
81920	2.587
90112	2.569
98304	2.593
106496	2.577
114688	2.618
122880	2.714
131072	2.603
147456	2.608
163840	2.611
180224	2.606
196608	2.606
212992	2.618
229376	2.608
245760	2.616
262144	2.612
327680	2.781
393216	3.003
458752	3.387
524288	3.617
655360	3.937
786432	4.596
917504	5.367
1048576	6.296
1310720	8.108
1572864	9.278
1835008	10.262
2097152	10.612
3145728	10.856
4194304	10.908
6291456	10.931
8388608	10.978
12582912	11.158
16777216	12.071
25165824	15.574
33554432	27.218
50331648	52.273
67108864	67.904
100663296	83.417
134217728	89.948
201326592	97.409
268435456	101.678
402653184	105.452
536870912	106.818
805306368	108.665
1073741824	109.050
1610612736	110.140
2147483648	110.838
3221225472	112.096
4294967296	114.411

Detected cache levels (approx):
- L1 capacity ~ 32.0 KiB (jump x3.53)
- L2 capacity ~ 384.0 KiB (jump x1.32)
- L3 capacity ~ 640.0 KiB (jump x1.26)
- L4 capacity ~ 896.0 KiB (jump x1.26)
- L? capacity ~ 1.2 MiB (jump x1.29)
- L? capacity ~ 16.0 MiB (jump x1.44)
- L? capacity ~ 32.0 MiB (jump x2.44)
- L? capacity ~ 64.0 MiB (jump x1.39)
