# Cache size detection via pointer-chasing (node_stride=256b)
# size_bytes	latency_ns_per_access
1024	0.771
1152	0.771
1280	0.771
1408	0.771
1536	0.771
1664	0.771
1792	0.771
1920	0.771
2048	0.770
2304	0.771
2560	0.771
2816	0.771
3072	0.771
3328	0.771
3584	0.770
3840	0.770
4096	0.770
4608	0.771
5120	0.770
5632	0.770
6144	0.770
6656	0.771
7168	0.771
7680	0.771
8192	0.770
9216	0.770
10240	0.771
11264	0.771
12288	0.770
13312	0.771
14336	0.771
15360	0.771
16384	0.771
18432	0.771
20480	0.771
22528	0.772
24576	0.772
26624	0.772
28672	0.771
30720	0.771
32768	0.771
36864	2.556
40960	2.515
45056	2.652
49152	2.545
53248	2.508
57344	2.619
61440	2.575
65536	2.645
73728	2.641
81920	2.706
90112	2.699
98304	2.681
106496	2.723
114688	2.713
122880	2.726
131072	2.724
147456	2.730
163840	2.741
180224	2.738
196608	2.730
212992	2.743
229376	2.742
245760	2.733
262144	2.731
327680	2.900
393216	3.140
458752	3.290
524288	3.642
655360	4.150
786432	4.318
917504	5.195
1048576	6.582
1310720	8.610
1572864	10.359
1835008	11.245
2097152	11.751
3145728	12.046
4194304	12.073
6291456	12.161
8388608	12.180
12582912	13.681
16777216	24.937
25165824	49.514
33554432	62.238
50331648	79.591
67108864	93.406
100663296	98.816
134217728	99.895
201326592	101.373
268435456	102.391
402653184	104.369
536870912	106.079
805306368	109.133
1073741824	111.850
1610612736	116.585
2147483648	120.266
3221225472	125.620
4294967296	126.111

Detected cache levels (approx):
- L1 capacity ~ 32.0 KiB (jump x3.32)
- L2 capacity ~ 448.0 KiB (jump x1.34)
- L3 capacity ~ 768.0 KiB (jump x1.29)
- L4 capacity ~ 1.0 MiB (jump x1.46)
- L? capacity ~ 12.0 MiB (jump x2.16)
- L? capacity ~ 24.0 MiB (jump x1.67)
- L? capacity ~ 48.0 MiB (jump x1.32)
