# Cache size detection via pointer-chasing (node_stride=256b)
# size_bytes	latency_ns_per_access
1024	0.952
1152	0.951
1280	0.955
1408	0.946
1536	0.941
1664	0.943
1792	0.939
1920	0.936
2048	0.940
2304	0.930
2560	0.931
2816	0.936
3072	0.931
3328	0.931
3584	0.930
3840	0.930
4096	0.931
4608	0.930
5120	0.930
5632	0.932
6144	0.935
6656	0.950
7168	0.952
7680	0.947
8192	0.937
9216	0.936
10240	0.931
11264	0.933
12288	0.931
13312	0.930
14336	0.930
15360	0.932
16384	0.931
18432	0.931
20480	0.930
22528	0.930
24576	0.930
26624	0.930
28672	0.930
30720	0.930
32768	0.931
36864	0.933
40960	0.930
45056	0.930
49152	0.931
53248	0.931
57344	0.931
61440	0.931
65536	0.932
73728	0.930
81920	0.931
90112	0.930
98304	0.930
106496	0.932
114688	0.931
122880	0.938
131072	0.930
147456	3.868
163840	4.404
180224	4.780
196608	5.102
212992	5.199
229376	5.278
245760	5.341
262144	5.356
327680	5.386
393216	5.550
458752	5.561
524288	5.558
655360	5.575
786432	5.581
917504	5.579
1048576	5.580
1310720	5.540
1572864	5.427
1835008	5.436
2097152	5.428
3145728	6.039
4194304	6.386
6291456	6.898
8388608	8.175
12582912	33.118
16777216	48.404
25165824	53.838
33554432	54.061
50331648	56.555
67108864	67.395
100663296	106.188
134217728	119.007
201326592	122.641
268435456	122.776
402653184	123.475
536870912	123.545
805306368	124.759
1073741824	126.320
1610612736	130.279
2147483648	128.991
3221225472	130.682
4294967296	132.253

Detected cache levels (approx):
- L1 capacity ~ 128.0 KiB (jump x4.14)
- L2 capacity ~ 4.0 MiB (jump x1.29)
- L3 capacity ~ 8.0 MiB (jump x4.39)
- L4 capacity ~ 16.0 MiB (jump x1.32)
- L? capacity ~ 64.0 MiB (jump x1.83)
