# Cache size detection via pointer-chasing (node_stride=256b)
# size_bytes	latency_ns_per_access
1024	0.682
1152	0.682
1280	0.682
1408	0.682
1536	0.682
1664	0.682
1792	0.682
1920	0.682
2048	0.682
2304	0.681
2560	0.682
2816	0.682
3072	0.682
3328	0.682
3584	0.682
3840	0.682
4096	0.681
4608	0.682
5120	0.681
5632	0.682
6144	0.682
6656	0.682
7168	0.682
7680	0.682
8192	0.682
9216	0.682
10240	0.682
11264	0.682
12288	0.682
13312	0.682
14336	0.682
15360	0.681
16384	0.681
18432	0.681
20480	0.682
22528	0.682
24576	0.682
26624	0.682
28672	0.681
30720	0.682
32768	0.682
36864	0.682
40960	0.681
45056	0.681
49152	0.682
53248	0.682
57344	0.682
61440	0.682
65536	0.682
73728	0.682
81920	0.682
90112	0.682
98304	0.682
106496	0.682
114688	0.681
122880	0.682
131072	0.789
147456	2.673
163840	4.180
180224	4.172
196608	5.036
212992	4.485
229376	4.642
245760	4.662
262144	4.685
327680	4.758
393216	4.798
458752	4.812
524288	4.811
655360	4.834
786432	5.867
917504	5.913
1048576	4.829
1310720	4.835
1572864	4.837
1835008	4.836
2097152	5.915
3145728	5.252
4194304	6.018
6291456	6.522
8388608	6.772
12582912	10.710
16777216	18.012
25165824	33.586
33554432	55.172
50331648	79.421
67108864	92.359
100663296	93.952
134217728	94.771
201326592	95.607
268435456	96.012
402653184	96.411
536870912	96.608
805306368	96.815
1073741824	96.945
1610612736	97.104
2147483648	95.057
3221225472	97.176
4294967296	101.929

Detected cache levels (approx):
- L1 capacity ~ 128.0 KiB (jump x3.91)
- L2 capacity ~ 176.0 KiB (jump x1.37)
- L3 capacity ~ 4.0 MiB (jump x1.29)
- L4 capacity ~ 8.0 MiB (jump x1.61)
- L? capacity ~ 16.0 MiB (jump x2.34)
- L? capacity ~ 32.0 MiB (jump x1.79)
