# Cache size detection via pointer-chasing (node_stride=256b)
# size_bytes	latency_ns_per_access
1024	1.385
1152	1.385
1280	1.385
1408	1.385
1536	1.385
1664	1.385
1792	1.385
1920	1.385
2048	1.387
2304	1.387
2560	1.386
2816	1.385
3072	1.385
3328	1.385
3584	1.385
3840	1.385
4096	1.385
4608	1.385
5120	1.385
5632	1.385
6144	1.385
6656	1.385
7168	1.385
7680	1.385
8192	1.386
9216	1.386
10240	1.385
11264	1.385
12288	1.385
13312	1.385
14336	1.385
15360	1.385
16384	1.385
18432	1.385
20480	1.385
22528	1.385
24576	1.385
26624	1.385
28672	1.385
30720	1.385
32768	1.443
36864	5.543
40960	5.542
45056	5.543
49152	5.543
53248	5.544
57344	5.543
61440	5.543
65536	5.543
73728	5.544
81920	5.544
90112	5.542
98304	5.543
106496	5.543
114688	5.544
122880	5.546
131072	5.546
147456	5.544
163840	5.542
180224	5.543
196608	5.543
212992	5.543
229376	5.543
245760	5.542
262144	5.543
327680	5.546
393216	5.548
458752	5.552
524288	5.561
655360	12.765
786432	12.751
917504	12.764
1048576	12.754
1310720	12.757
1572864	12.764
1835008	12.758
2097152	12.764
3145728	12.760
4194304	12.764
6291456	12.764
8388608	12.762
12582912	25.707
16777216	38.109
25165824	56.206
33554432	58.828
50331648	63.997
67108864	73.628
100663296	86.043
134217728	86.984
201326592	88.182
268435456	88.611
402653184	89.037
536870912	89.261
805306368	89.717
1073741824	89.971
1610612736	93.269
2147483648	94.980
3221225472	96.759
4294967296	97.555

Detected cache levels (approx):
- L1 capacity ~ 32.0 KiB (jump x4.00)
- L2 capacity ~ 512.0 KiB (jump x2.30)
- L3 capacity ~ 8.0 MiB (jump x2.01)
- L4 capacity ~ 16.0 MiB (jump x1.76)
- L? capacity ~ 64.0 MiB (jump x1.36)
