# Cache size detection via pointer-chasing (node_stride=256b)
# size_bytes	latency_ns_per_access
1024	2.866
1152	2.874
1280	2.869
1408	2.881
1536	2.864
1664	2.877
1792	2.865
1920	2.866
2048	2.875
2304	2.873
2560	2.869
2816	2.878
3072	2.875
3328	2.871
3584	2.877
3840	2.874
4096	2.865
4608	2.864
5120	2.874
5632	2.864
6144	2.866
6656	2.875
7168	2.867
7680	2.864
8192	2.875
9216	2.866
10240	2.867
11264	2.877
12288	2.876
13312	2.868
14336	2.865
15360	2.877
16384	2.865
18432	2.874
20480	2.874
22528	2.866
24576	2.866
26624	2.872
28672	2.867
30720	2.876
32768	3.635
36864	9.868
40960	11.311
45056	11.403
49152	12.039
53248	11.493
57344	12.095
61440	12.019
65536	11.793
73728	12.019
81920	11.891
90112	11.836
98304	12.011
106496	11.960
114688	11.990
122880	11.884
131072	12.011
147456	12.104
163840	12.041
180224	12.075
196608	12.020
212992	12.085
229376	12.176
245760	12.153
262144	12.119
327680	13.151
393216	13.736
458752	14.153
524288	14.537
655360	15.276
786432	15.698
917504	15.927
1048576	29.709
1310720	123.688
1572864	136.025
1835008	141.677
2097152	147.189
3145728	145.481
4194304	144.649
6291456	143.517
8388608	142.791
12582912	142.853
16777216	142.534
25165824	142.307
33554432	142.146
50331648	142.149
67108864	142.162
100663296	141.950
134217728	141.885
201326592	141.939
268435456	142.021
402653184	151.133
536870912	155.907
805306368	158.403
1073741824	162.923
1610612736	165.297
2147483648	166.779
3221225472	166.319
4294967296	167.164

Detected cache levels (approx):
- L1 capacity ~ 30.0 KiB (jump x1.27)
- L2 capacity ~ 36.0 KiB (jump x1.68)
- L3 capacity ~ 640.0 KiB (jump x1.27)
- L4 capacity ~ 896.0 KiB (jump x1.88)
- L? capacity ~ 1.2 MiB (jump x1.77)
