# Cache size detection via pointer-chasing (node_stride=256b)
# size_bytes	latency_ns_per_access
1024	1.088
1152	1.088
1280	1.088
1408	1.088
1536	1.088
1664	1.088
1792	1.088
1920	1.088
2048	1.088
2304	1.088
2560	1.088
2816	1.088
3072	1.088
3328	1.088
3584	1.088
3840	1.088
4096	1.088
4608	1.088
5120	1.088
5632	1.088
6144	1.088
6656	1.088
7168	1.088
7680	1.088
8192	1.088
9216	1.088
10240	1.088
11264	1.088
12288	1.088
13312	1.088
14336	1.088
15360	1.088
16384	1.088
18432	1.088
20480	1.088
22528	1.088
24576	1.088
26624	1.088
28672	1.088
30720	1.088
32768	1.088
36864	1.088
40960	1.088
45056	1.088
49152	1.088
53248	3.481
57344	3.459
61440	3.461
65536	3.453
73728	3.481
81920	3.481
90112	3.481
98304	3.481
106496	3.481
114688	3.481
122880	3.481
131072	3.481
147456	3.469
163840	3.481
180224	3.481
196608	3.481
212992	3.481
229376	3.481
245760	3.478
262144	3.481
327680	3.482
393216	3.484
458752	3.719
524288	3.891
655360	4.098
786432	4.272
917504	4.369
1048576	4.474
1310720	5.667
1572864	6.750
1835008	9.261
2097152	12.694
3145728	31.933
4194304	36.684
6291456	39.213
8388608	40.355
12582912	43.491
16777216	43.639
25165824	36.937
33554432	36.529
50331648	45.962
67108864	61.661
100663296	79.446
134217728	88.473
201326592	98.072
268435456	103.431
402653184	108.625
536870912	111.348
805306368	114.172
1073741824	117.159
1610612736	123.962
2147483648	127.997
3221225472	132.105
4294967296	134.497

Detected cache levels (approx):
- L1 capacity ~ 48.0 KiB (jump x3.20)
- L2 capacity ~ 1.0 MiB (jump x1.57)
- L3 capacity ~ 1.5 MiB (jump x1.49)
- L4 capacity ~ 2.0 MiB (jump x2.91)
- L? capacity ~ 48.0 MiB (jump x1.56)
- L? capacity ~ 96.0 MiB (jump x1.25)
