# Cache size detection via pointer-chasing (node_stride=256b)
# size_bytes	latency_ns_per_access
1024	2.930
1152	3.174
1280	2.930
1408	2.930
1536	2.930
1664	2.930
1792	2.930
1920	2.930
2048	2.930
2304	2.930
2560	2.930
2816	2.930
3072	2.930
3328	2.930
3584	2.930
3840	2.930
4096	2.930
4608	2.930
5120	2.930
5632	2.930
6144	3.174
6656	2.930
7168	2.930
7680	2.930
8192	2.930
9216	2.930
10240	2.930
11264	3.174
12288	2.930
13312	2.930
14336	2.930
15360	2.930
16384	2.861
18432	2.967
20480	3.052
22528	2.948
24576	3.020
26624	2.934
28672	2.997
30720	3.052
32768	2.861
36864	2.967
40960	3.052
45056	3.121
49152	3.020
53248	2.934
57344	2.997
61440	2.797
65536	3.099
73728	2.967
81920	2.861
90112	2.948
98304	3.020
106496	2.934
114688	2.997
122880	2.797
131072	2.861
147456	2.967
163840	2.861
180224	2.948
196608	2.861
212992	2.934
229376	2.997
245760	3.052
262144	3.099
327680	3.052
393216	3.020
458752	2.997
524288	3.099
655360	3.052
786432	22.888
917504	43.597
1048576	68.665
1310720	91.553
1572864	101.725
1835008	113.351
2097152	122.070
3145728	132.243
4194304	137.329
6291456	152.588
8388608	152.588
12582912	157.674
16777216	167.847
25165824	175.476
33554432	196.457
50331648	203.451
67108864	240.326
100663296	280.380
134217728	301.361
201326592	316.620
268435456	325.680
402653184	324.090
536870912	342.846
805306368	331.561
1073741824	356.376
1610612736	337.720

Detected cache levels (approx):
- L1 capacity ~ 640.0 KiB (jump x7.72)
- L2 capacity ~ 896.0 KiB (jump x2.07)
- L3 capacity ~ 1.2 MiB (jump x1.27)
- L4 capacity ~ 4.0 MiB (jump x1.26)
- L? capacity ~ 48.0 MiB (jump x1.39)
