# Cache size detection via pointer-chasing (node_stride=256b)
# size_bytes	latency_ns_per_access
1024	1.878
1152	1.879
1280	1.878
1408	1.878
1536	1.878
1664	1.878
1792	1.878
1920	1.878
2048	1.879
2304	1.878
2560	1.878
2816	1.878
3072	1.885
3328	1.882
3584	1.883
3840	1.885
4096	1.883
4608	1.879
5120	1.878
5632	1.879
6144	1.883
6656	1.883
7168	1.883
7680	1.882
8192	1.883
9216	1.883
10240	1.884
11264	1.883
12288	1.882
13312	1.883
14336	1.883
15360	1.882
16384	1.883
18432	1.878
20480	1.878
22528	1.878
24576	1.878
26624	1.878
28672	1.878
30720	1.878
32768	1.878
36864	1.878
40960	1.878
45056	1.878
49152	1.879
53248	1.879
57344	1.879
61440	1.880
65536	1.879
73728	3.906
81920	5.393
90112	6.327
98304	7.101
106496	7.643
114688	8.085
122880	8.416
131072	8.693
147456	9.090
163840	9.355
180224	9.540
196608	9.672
212992	9.764
229376	9.829
245760	9.878
262144	9.921
327680	9.997
393216	10.204
458752	23.297
524288	25.464
655360	42.846
786432	47.558
917504	59.199
1048576	66.916
1310720	76.299
1572864	92.183
1835008	108.319
2097152	119.289
3145728	138.190
4194304	143.346
6291456	163.220
8388608	171.331
12582912	180.358
16777216	185.301
25165824	190.568
33554432	182.875
50331648	189.715
67108864	195.978
100663296	200.552
134217728	205.325
201326592	211.868
268435456	214.271
402653184	203.667
536870912	175.164
805306368	117.494
1073741824	112.614

Detected cache levels (approx):
- L1 capacity ~ 64.0 KiB (jump x2.08)
- L2 capacity ~ 80.0 KiB (jump x1.36)
- L3 capacity ~ 384.0 KiB (jump x2.60)
- L4 capacity ~ 512.0 KiB (jump x1.76)
- L? capacity ~ 768.0 KiB (jump x1.31)
- L? capacity ~ 1.2 MiB (jump x1.37)
- L? capacity ~ 2.0 MiB (jump x1.30)
